Army Name,Unit Name,Model Group,Models Per Trigger,Max Substitutions Per Trigger,Weapon Replaced,Replacement Weapon Name,Points Cost,Is Choice,Option Group
Chaos Daemons,Legionaries,All,5,,Boltgun,Heavy bolter,,Yes,G
Chaos Daemons,Legionaries,All,5,,Boltgun,Lascannon,,Yes,G
Chaos Daemons,Legionaries,All,5,,Boltgun,Meltagun,,Yes,G
Chaos Daemons,Legionaries,All,5,,Boltgun,missile launcher,,Yes,G
Chaos Daemons,Legionaries,All,5,,Boltgun,plasma gun,,Yes,G
Chaos Daemons,Legionaries,All,5,,Boltgun,Reaper chaincannon,,Yes,G
Chaos Daemons,Raptors,All,,,Bolt pistol,plasma pistol,,No,
Chaos Daemons,Raptors,All,,,Astartes chainsword,Accursed weapon,,Yes,B
Chaos Daemons,Raptors,All,,,Astartes chainsword,Heavy melee weapon,,Yes,B
Chaos Daemons,Raptors,All,5,2,Bolt pistol,plasma pistol (these models’ Astartes chainswords cannot be replaced),,No,
Chaos Daemons,Raptors,All,5,2,Astartes chainsword,Heavy melee weapon,,No,
Chaos Daemons,Sorcerer In Terminator Armour,All,,,Combi-bolter,Combi-weapon,,No,
