Unit Ability Name,Unit Ability Description,,,,,
Bane of Cowards,"Each time an enemy unit (excluding Monsters and Vehicles) within Engagement Range of one or more units from your army with this ability Falls Back, models in that enemy unit must take Desperate Escape tests. When doing so, if that enemy unit is also Battle-shocked, subtract 1 from each of those Desperate Escape tests.",,,,,
Brass Stampede,"Each time this unit ends a Charge move, select one enemy unit within Engagement Range of this unit and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers D3 mortal wounds.",,,,,
Hunters from the Warp,"At the end of your opponent's turn, if this unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves.",,,,,
Skulls of the Fallen,"In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. That unit must take a Battle-shock test.",,,,,
Shadow of Khorne (Aura),"The area of the battlefield within 6"" of this Fortification is considered to be within your army's Shadow of Chaos. In addition",,,,,
Cover,"Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.",,,,,
Fortification,"While an enemy unit is only within Engagement Range of one or more Fortifications from your army: that unit can still be selected as the target of ranged attacks, but each time such an attack is made, unless it is made with a Pistol, subtract 1 from the Hit roll. Models in that unit do not need to take Desperate Escape tests due to Falling Back while Battle-shocked, except for those that will move over enemy models when doing so.",,,,,
Greater Daemon of Tzeentch (Aura),"While a friendly Tzeentch Legiones Daemonica unit is within 6"" of this model",,,,,
One Head Looks Forward,"At the end of your Command phase, if this model is on the battlefield, take a Leadership test for this model; if that test is passed, you gain 1CP.",,,,,
One Head Looks Back,"Once per turn, when your opponent targets a unit from their army within 12"" of this model with a stratagem",,,,,
Daemon Lord of Tzeentch (Aura),"While a friendly Tzeentch Legiones Daemonica unit is within 6"" of this model",,,,,
Master of Magicks (Psychic),"In your Shooting phase, select one of the following abilities: [IGNORES COVER]; [LETHAL HITS]; [SUSTAINED HITS D3]. Until the end of the phase, this model's Bolt of Change has that ability.",,,,,
Formless Horror,"Each time an enemy unit wishes to select this model as the target of an attack, that unit must first take a Battle-shock test. If that test is failed, in addition to being Battle-shocked, that enemy unit cannot target this model this phase.",,,,,
Mischief and Confusion,"At the start of your opponent's Shooting phase, select one enemy unit within 12"" of and visible to this model and roll one D6: on a 2-5",,,,,
Fateskimmer,"While this model is leading a unit, melee weapons equipped by models in that unit have the [LETHAL HITS] ability.",,,,,
Rider of the Immaterial Winds,"Once per battle, at the end of your opponent's turn, if this model's unit is not within Engagement Range of one or more enemy units, you can remove that unit from the battlefield and place it into Strategic Reserves.",,,,,
Fluxmaster,"While this model is leading a unit, each time an attack is made against that unit, subtract 1 from the Hit roll.",,,,,
Altered Reality (Psychic),"Once per battle round, after a Hit roll, a Wound roll or a saving throw is made for this model, you can change the result of that roll to an unmodified 6.",,,,,
P'tarix's Sorcerous Syphon (Aura),"While an enemy unit is within 12"" of this model",,,,,
Xirat'p's Sorcerous Barrages (Psychic),"At the end of your Movement phase, roll one D6 for each enemy unit within 6"" of this model: on a 2-3",,,,,
Changecaster,"While this model is leading a unit, ranged weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.",,,,,
Storm of Mutating Sorcery (Psychic),"In your Shooting phase, after this model has shot, select one enemy Infantry unit hit by one or more of those attacks. That unit must take a Battle-shock test.",,,,,
Blazing Warpfire (Psychic),"While this model is leading a unit, ranged weapons equipped by models in that unit have the [ASSAULT] ability.",,,,,
Flames of Change (Psychic),"In your Shooting phase, after this model has shot, select one enemy unit (excluding Monsters and Vehicles) hit by one or more of those attacks, and roll one D6. On a 4+, until the end of your opponent's next turn, that enemy unit is aflame. While a unit is aflame, subtract 2"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""",,,,,
Split,"Each time a Blue Horror or Pink Horror model in this unit is destroyed, after the attacking unit has finished making its attacks, if this unit is not destroyed, roll one D6 for that model. On a 4+, add the appropriate number of replacement models to this unit (see unit rules).",,,,,
Sullen Malevolence (Aura),"While an enemy unit is within 6"" of this unit",,,,,
Exploding Horrors,"Each time this unit is selected to fight, you can select one enemy unit within Engagement Range of it, then select one or more Brimstone Horror models in this unit. For each Brimstone Horror model you select, roll one D6: on a 4+, that model is destroyed and that enemy unit suffers 1 mortal wound.",,,,,
Bounding Leaps,This unit is eligible to shoot in a turn in which it Fell Back.,,,,,
Slashing Dive,"In your Movement phase, after this unit ends a Normal move, you can select one enemy unit it moved over during that move and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers 1 mortal wound.",,,,,
Eldritch Flames (Psychic),"In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, that unit cannot have the Benefit of Cover.",,,,,
Greater Daemon of Nurgle (Aura),"While a friendly Nurgle Legiones Daemonica unit is within 6"" of this model",,,,,
Virulent Blessing (Psychic),"At the start of the Fight phase, you can select one enemy unit within 24"" and visible to this model. Until the end of the phase",,,,,
Deluge of Nurgle (Aura),"While an enemy unit is within 6"" of this model",,,,,
Daemon Lord of Nurgle (Aura),"While a friendly Nurgle Legiones Daemonica unit is within 6"" of this model",,,,,
Nurgle's Rot (Psychic),"At the end of your Movement phase, you can select one enemy unit within 12"" of this model. Until the start of your next Movement phase",,,,,
Poxbringer,"While this model is leading a unit, each time a model in that unit makes an attack, a successful unmodified Hit roll of 5+ scores a Critical Hit.",,,,,
Feculent Despair (Aura Psychic),"While an enemy unit is within 6"" of this model",,,,,
Keep Counting!,"While this model is leading a unit, melee weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.",,,,,
Meet Your Quota!,"While this model is leading a unit, add 1 to the Objective Control characteristic of models in that unit.",,,,,
Blessed by the Plague God,"While this model is leading a unit, models in that unit have a 4+ invulnerable save.",,,,,
Tally of Pestilence,"Keep a tally of how many enemy models are destroyed by Nurgle Legiones Daemonica models from your army during the battle. At the start of your Command phase, if this tally is 7 or more, you gain 1CP and the tally is reset to 0.",,,,,
Jolly Gutpipes,"While this model is leading a unit, add 1 to the Move characteristic of models in that unit and you can re-roll Advance rolls made for that unit.",,,,,
Disease of Mirth (Aura),"At the start of the Fight phase, every enemy unit (excluding Monsters and Vehicles) within 6"" of this model must take a Battle-shock test.""",,,,,
Beast Handler,"While this model is leading a unit, you can re-roll charge rolls made for that unit. In addition, once per battle, you can target this unit with the Heroic Intervention stratagem, regardless of any other uses of that stratagem this phase. If you do, that use is -1 CP, and that use does not prevent any uses of that stratagem on other units this phase.",,,,,
Seed the Garden of Nurgle,"At the end of your Movement phase, if this model is within one Area Terrain feature, until the end of the battle, that Area Terrain feature is considered to be within your army's Shadow of Chaos.",,,,,
Infected Outbreak,"If you control an objective marker at the end of your Command phase and this unit is within range of that objective marker, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.",,,,,
Mischief Makers,"Each time an enemy unit (excluding Titanic units) within Engagement Range of one or more units with this ability is selected to fight, until the end of the phase, each time a model in that enemy unit makes a melee attack, subtract 1 from the Hit roll.",,,,,
Grotesque Regeneration,"At the end of each phase, if a Beasts of Nurgle model in this unit has lost any wounds but is not destroyed, that model regains all of its lost wounds.",,,,,
Death's Heads,"In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks. Until the end of the turn, each time a friendly Nurgle Legiones Daemonica unit makes an attack that targets that unit, you can re-roll the Wound roll.",,,,,
Shroud of Flies (Aura),"While a friendly Nurgle Legiones Daemonica unit is within 6"" of this Fortification",,,,,
Diseased Cover,"Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.",,,,,
Greater Daemon of Slaanesh (Aura),"While a friendly Slaanesh Legiones Daemonica unit is within 6"" of this model",,,,,
No Prey Can Evade,You can re-roll Advance and Charge rolls made for this model.,,,,,
Monarch of the Hunt,"At the start of the first battle round, select one enemy unit to be this model's quarry. Each time this model makes a melee attack that targets its quarry, you can re-roll the Hit roll and you can re-roll the Wound roll. Each time this model's quarry is destroyed, select one new enemy unit to be this model's quarry.",,,,,
Daemon Lord of Slaanesh (Aura),"While a friendly Slaanesh Legiones Daemonica unit is within 6"" of this model",,,,,
Mesmerising Form,"Each time an attack targets this model, subtract 1 from the Hit roll.",,,,,
Harmonic Alignment,"While this model is leading a unit, in your Command phase, you can return D3 destroyed Bodyguard models to that unit.",,,,,
Discordant Disruption (Aura),"While an enemy Psyker unit is within 12"" of this model",,,,,
The Eternal Dance,"At the start of the Fight phase, select one enemy unit within 6"" of this model. Until the end of the phase",,,,,
Dazzling Acrobatics,This model is eligible to declare a charge in a turn in which it Advanced or Fell Back.,,,,,
Prince of Slaanesh,"While this model is leading a unit, each time a model in that unit makes a melee attack, a successful unmodified Wound roll of 5+ scores a Critical Wound.",,,,,
Delightful Agonies,"The first time this model is destroyed, roll one D6 at the end of the phase. On a 2+, set this model back up on the battlefield, as close as possible to where it was destroyed and not within Engagement Range of any enemy units, with its full wounds remaining.",,,,,
Swallow Energy (Psychic),"While this model is leading a unit, models in that unit have the Feel No Pain 4+ ability against mortal wounds and Psychic Attacks.",,,,,
Horrible Fascination (Psychic),"At the start of your opponent's Shooting phase, one Psyker model from your army with this ability can use it. If it does, select one enemy unit within 12"" of and visible to that Psyker model and roll one D6: on a 1"," that enemy unit is not eligible to shoot this phase."""," that enemy unit is not eligible to shoot this phase."""," that enemy unit is not eligible to shoot this phase."""," that enemy unit is not eligible to shoot this phase."""," that enemy unit is not eligible to shoot this phase."""
Tormentbringer (Aura),"While a friendly Slaanesh Legiones Daemonica unit is within 6"" of this model",,,,,
Hysterical Frenzy,"Each time a model in this model's unit is destroyed, if that model has not fought this phase, do not remove it from play. The destroyed model can fight after the attacking unit has finished making its attacks, and is then removed from play.",,,,,
Tranceweaver,"Each time a model in this unit makes an attack, re-roll a Hit roll of 1. If the target of that attack is within range of an objective marker, you can re-roll the Hit roll instead.",,,,,
Symphony of Pain (Psychic),"At the end of your Movement phase, you can select one enemy unit that is Battle-shocked and within 12"" of this model. Until the end of the turn",,,,,
Horrifying Beauty,"At the start of the Fight phase, each enemy unit within Engagement Range of one or more units from your army with this ability must take a Battle-shock test, subtracting 1 from the result if that enemy unit is Below Half-strength.",,,,,
Soporific Musk,"Each time an enemy unit (excluding Monsters and Vehicles) within Engagement Range of one or more units from your army with this ability Falls Back, models in that enemy unit must take Desperate Escape tests. When doing so, if that enemy unit is also Battle-shocked, subtract 1 from each of those Desperate Escape tests.",,,,,
Unholy Speed,You can re-roll Advance and Charge rolls made for this unit.,,,,,
Cutting Down the Foe,"Each time a model in this unit makes a melee attack, if this unit made a Charge move this turn, improve the Strength and Damage characteristics of that attack by 1.",,,,,
The Dark Master (Aura),"The area of the battlefield within 6"" of this model is within your army's Shadow of Chaos.""",,,,,
Shadow Form,"At the start of the battle round, select one Shadow Form ability. Until the end of the battle round, this model has that ability.",,,,,
Scuttling Walker,"Each time this model makes a Normal or Advance move, it can move over friendly Monster and Vehicle models and terrain features that are 4"" or less in height as if they were not there.""",,,,,
Daemonic Lord,"While this model is within 3"" of one or more friendly Legiones Daemonica Infantry units",,,,,
Prince of Darkness (Aura),"While a friendly Legiones Daemonica unit is within 6"" of this model",,,,,
Unholy Vigour,"Once per battle, at the start of any phase, this model can use this ability. If it does, until the end of the phase, this model has a 3+ invulnerable save.",,,,,
Malefic Destruction,"Once per battle, at the start of the Fight phase, this model can use this ability. If it does, until the end of the phase, add 3 to the Attacks characteristic of this model's hellforged weapons.",,,,,
Harbinger of Death,"Each time this model is selected to fight, select one of the following abilities. Until the end of the phase, this model's hellforged weapons have that ability: [LETHAL HITS], [PRECISION], or [SUSTAINED HITS 1].",,,,,
